weapon_name,wiki_title,wiki_url,confidence,notes
APM launcher,,,needs_check,not in report anchor set; resolve via live wiki API
Aberrant weapons,,,needs_check,not in report anchor set; resolve via live wiki API
Absolvor bolt pistol,Bolt Pistol,https://warhammer40k.fandom.com/wiki/Bolt_Pistol,base_fallback,stripped prefix: absolvor
Abyssal lance,,,needs_check,not in report anchor set; resolve via live wiki API
Acastus autocannon,Autocannon,https://warhammer40k.fandom.com/wiki/Autocannon,base_fallback,stripped prefix: acastus
Acastus ironstorm missile pod,,,needs_check,not in report anchor set; resolve via live wiki API
Accelerator autocannon,Autocannon,https://warhammer40k.fandom.com/wiki/Autocannon,base_fallback,stripped prefix: accelerator
Accelerator burst cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Accursed crozius,,,needs_check,not in report anchor set; resolve via live wiki API
Accursed weapon,,,needs_check,not in report anchor set; resolve via live wiki API
Acheron flame cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Achilles missile launcher,,,needs_check,not in report anchor set; resolve via live wiki API
Achillus dreadspear,,,needs_check,not in report anchor set; resolve via live wiki API
Acid spray,,,needs_check,not in report anchor set; resolve via live wiki API
Acidic maw,,,needs_check,not in report anchor set; resolve via live wiki API
Adrasite spear,,,needs_check,not in report anchor set; resolve via live wiki API
Adrastus bolt caliver,,,needs_check,not in report anchor set; resolve via live wiki API
Adrathic devastator,,,needs_check,not in report anchor set; resolve via live wiki API
Aeldari missile launcher,,,needs_check,not in report anchor set; resolve via live wiki API
Aeldari power sword,Power Sword,https://warhammer40k.fandom.com/wiki/Power_Sword,base_fallback,stripped prefix: aeldari
Aeonstave,,,needs_check,not in report anchor set; resolve via live wiki API
Agent firearm,,,needs_check,not in report anchor set; resolve via live wiki API
Agent melee weapon,,,needs_check,not in report anchor set; resolve via live wiki API
Agoniser,Agoniser,https://warhammer40k.fandom.com/wiki/Agoniser,verified,base article
Agonising Energies,,,needs_check,not in report anchor set; resolve via live wiki API
Aiolos missile launcher,,,needs_check,not in report anchor set; resolve via live wiki API
Airbursting fragmentation projector,,,needs_check,not in report anchor set; resolve via live wiki API
Alpha close combat weapon,,,needs_check,not in report anchor set; resolve via live wiki API
Alpha combat weapon,,,needs_check,not in report anchor set; resolve via live wiki API
Ancestral Wrath,,,no_match,report: no standalone Fandom article
Ancestral ward stave,,,needs_check,not in report anchor set; resolve via live wiki API
Angelus boltgun,Bolter,https://warhammer40k.fandom.com/wiki/Bolter,base_fallback,stripped prefix: angelus
Animus speculum,,,needs_check,not in report anchor set; resolve via live wiki API
Annihilator beam,,,needs_check,not in report anchor set; resolve via live wiki API
Anointed halberd,,,needs_check,not in report anchor set; resolve via live wiki API
Anointed pistol,,,needs_check,not in report anchor set; resolve via live wiki API
Antimatter Meteor,,,needs_check,not in report anchor set; resolve via live wiki API
Anvillus defence battery,,,needs_check,not in report anchor set; resolve via live wiki API
Anvilus autocannon battery,,,needs_check,not in report anchor set; resolve via live wiki API
Apocalypse launcher,,,needs_check,not in report anchor set; resolve via live wiki API
Aquila macro-cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Arachnus heavy blaze cannon,,,needs_check,not in report anchor set; resolve via live wiki API
