faction,section,unit,cost_tier,models,points,version
adepta-sororitas,UNITS,AESTRED THURGA AND AGATHAE DOLAN,YOUR UNIT COSTS,2,80,v1.0
adepta-sororitas,UNITS,ARCO-FLAGELLANTS,YOUR UNIT COSTS,3,50,v1.0
adepta-sororitas,UNITS,ARCO-FLAGELLANTS,YOUR UNIT COSTS,10,140,v1.0
adepta-sororitas,UNITS,BATTLE SISTERS SQUAD,YOUR UNIT COSTS,10,100,v1.0
adepta-sororitas,UNITS,CANONESS,YOUR UNIT COSTS,1,60,v1.0
adepta-sororitas,UNITS,CANONESS WITH JUMP PACK,YOUR UNIT COSTS,1,75,v1.0
adepta-sororitas,UNITS,CASTIGATOR,YOUR 1ST TO 2ND UNITS COST,1,165,v1.0
adepta-sororitas,UNITS,CASTIGATOR,YOUR 3RD + UNIT COSTS,1,175,v1.0
adepta-sororitas,UNITS,CELESTIAN INSIDIANTS,YOUR UNIT COSTS,10,120,v1.0
adepta-sororitas,UNITS,CELESTIAN SACRESANTS,YOUR 1ST UNIT COSTS,5,75,v1.0
adepta-sororitas,UNITS,CELESTIAN SACRESANTS,YOUR 1ST UNIT COSTS,10,150,v1.0
adepta-sororitas,UNITS,CELESTIAN SACRESANTS,YOUR 2ND + UNIT COSTS,5,90,v1.0
adepta-sororitas,UNITS,CELESTIAN SACRESANTS,YOUR 2ND + UNIT COSTS,10,165,v1.0
adepta-sororitas,UNITS,DAEMONIFUGE,YOUR UNIT COSTS,2,85,v1.0
adepta-sororitas,UNITS,DIALOGUS,YOUR UNIT COSTS,1,40,v1.0
adepta-sororitas,UNITS,DOGMATA,YOUR UNIT COSTS,1,45,v1.0
adepta-sororitas,UNITS,DOMINION SQUAD,YOUR 1ST TO 2ND UNITS COST,10,100,v1.0
adepta-sororitas,UNITS,DOMINION SQUAD,YOUR 3RD + UNIT COSTS,10,110,v1.0
adepta-sororitas,UNITS,DOMINION SQUAD,WARGEAR OPTIONS,,5,v1.0
adepta-sororitas,UNITS,EXORCIST,YOUR 1ST UNIT COSTS,1,180,v1.0
adepta-sororitas,UNITS,EXORCIST,YOUR 2ND + UNIT COSTS,1,220,v1.0
adepta-sororitas,UNITS,HOSPITALLER,YOUR 1ST UNIT COSTS,1,75,v1.0
adepta-sororitas,UNITS,HOSPITALLER,YOUR 2ND + UNIT COSTS,1,85,v1.0
adepta-sororitas,UNITS,IMAGIFIER,YOUR UNIT COSTS,1,65,v1.0
adepta-sororitas,UNITS,IMMOLATOR,YOUR 1ST TO 3RD UNITS COST,1,110,v1.0
adepta-sororitas,UNITS,IMMOLATOR,YOUR 4TH + UNIT COSTS,1,120,v1.0
adepta-sororitas,UNITS,IMMOLATOR,WARGEAR OPTIONS,,15,v1.0
adepta-sororitas,UNITS,INTRANZIA FRAYE,YOUR UNIT COSTS,1,150,v1.0
adepta-sororitas,UNITS,JUNITH ERUITA,YOUR UNIT COSTS,1,115,v1.0
adepta-sororitas,UNITS,MINISTORUM PRIEST,YOUR UNIT COSTS,1,50,v1.0
adepta-sororitas,UNITS,MORTIFIERS,YOUR UNIT COSTS,1,70,v1.0
adepta-sororitas,UNITS,MORTIFIERS,YOUR UNIT COSTS,2,130,v1.0
adepta-sororitas,UNITS,MORVENN VAHL,YOUR UNIT COSTS,1,185,v1.0
adepta-sororitas,UNITS,PALATINE,YOUR UNIT COSTS,1,50,v1.0
adepta-sororitas,UNITS,PARAGON WARSUITS,YOUR 1ST TO 2ND UNITS COST,3,180,v1.0
adepta-sororitas,UNITS,PARAGON WARSUITS,YOUR 3RD + UNIT COSTS,3,190,v1.0
adepta-sororitas,UNITS,PARAGON WARSUITS,WARGEAR OPTIONS,,10,v1.0
adepta-sororitas,UNITS,PENITENT ENGINES,YOUR UNIT COSTS,1,70,v1.0
adepta-sororitas,UNITS,PENITENT ENGINES,YOUR UNIT COSTS,2,140,v1.0
adepta-sororitas,UNITS,REPENTIA SQUAD,YOUR UNIT COSTS,5,75,v1.0
adepta-sororitas,UNITS,REPENTIA SQUAD,YOUR UNIT COSTS,10,160,v1.0
adepta-sororitas,UNITS,RETRIBUTOR SQUAD,YOUR 1ST TO 2ND UNITS COST,5,105,v1.0
adepta-sororitas,UNITS,RETRIBUTOR SQUAD,YOUR 3RD + UNIT COSTS,5,115,v1.0
adepta-sororitas,UNITS,RETRIBUTOR SQUAD,WARGEAR OPTIONS,,5,v1.0
adepta-sororitas,UNITS,SAINT CELESTINE,YOUR UNIT COSTS,3,150,v1.0
adepta-sororitas,UNITS,SANCTIFIERS,YOUR UNIT COSTS,9,110,v1.0
adepta-sororitas,UNITS,SERAPHIM SQUAD,YOUR 1ST TO 2ND UNITS COST,5,85,v1.0
adepta-sororitas,UNITS,SERAPHIM SQUAD,YOUR 1ST TO 2ND UNITS COST,10,160,v1.0
adepta-sororitas,UNITS,SERAPHIM SQUAD,YOUR 3RD + UNIT COSTS,5,95,v1.0
adepta-sororitas,UNITS,SERAPHIM SQUAD,YOUR 3RD + UNIT COSTS,10,170,v1.0
adepta-sororitas,UNITS,SISTERS NOVITIATE SQUAD,YOUR UNIT COSTS,10,100,v1.0
adepta-sororitas,UNITS,SORORITAS RHINO,YOUR UNIT COSTS,1,75,v1.0
adepta-sororitas,UNITS,TRIUMPH OF SAINT KATHERINE,YOUR UNIT COSTS,1,245,v1.0
adepta-sororitas,UNITS,ZEPHYRIM SQUAD,YOUR UNIT COSTS,5,80,v1.0
adepta-sororitas,UNITS,ZEPHYRIM SQUAD,YOUR UNIT COSTS,10,160,v1.0
adeptus-custodes,UNITS,AGAMATUS CUSTODIANS,YOUR UNIT COSTS,3,225,v1.0
adeptus-custodes,UNITS,AGAMATUS CUSTODIANS,YOUR UNIT COSTS,6,450,v1.0
adeptus-custodes,UNITS,ALEYA,YOUR UNIT COSTS,1,65,v1.0
adeptus-custodes,UNITS,ALLARUS CUSTODIANS,YOUR UNIT COSTS,2,110,v1.0
adeptus-custodes,UNITS,ALLARUS CUSTODIANS,YOUR UNIT COSTS,3,165,v1.0
adeptus-custodes,UNITS,ALLARUS CUSTODIANS,YOUR UNIT COSTS,5,275,v1.0
adeptus-custodes,UNITS,ALLARUS CUSTODIANS,YOUR UNIT COSTS,6,330,v1.0
adeptus-custodes,UNITS,ANATHEMA PSYKANA RHINO,YOUR UNIT COSTS,1,75,v1.0
adeptus-custodes,UNITS,AQUILON CUSTODIANS,YOUR UNIT COSTS,3,195,v1.0
adeptus-custodes,UNITS,AQUILON CUSTODIANS,YOUR UNIT COSTS,6,390,v1.0
adeptus-custodes,UNITS,ARES GUNSHIP,YOUR 1ST UNIT COSTS,1,580,v1.0
adeptus-custodes,UNITS,ARES GUNSHIP,YOUR 2ND + UNIT COSTS,1,610,v1.0
adeptus-custodes,UNITS,BLADE CHAMPION,YOUR 1ST UNIT COSTS,1,110,v1.0
adeptus-custodes,UNITS,BLADE CHAMPION,YOUR 2ND + UNIT COSTS,1,125,v1.0
adeptus-custodes,UNITS,CALADIUS GRAV-TANK,YOUR 1ST TO 2ND UNITS COST,1,210,v1.0
adeptus-custodes,UNITS,CALADIUS GRAV-TANK,YOUR 3RD + UNIT COSTS,1,225,v1.0
adeptus-custodes,UNITS,CALADIUS GRAV-TANK,WARGEAR OPTIONS,,15,v1.0
adeptus-custodes,UNITS,CONTEMPTOR-ACHILLUS DREADNOUGHT,YOUR 1ST TO 2ND UNITS COST,1,155,v1.0
adeptus-custodes,UNITS,CONTEMPTOR-ACHILLUS DREADNOUGHT,YOUR 3RD + UNIT COSTS,1,170,v1.0
adeptus-custodes,UNITS,CONTEMPTOR-GALATUS DREADNOUGHT,YOUR 1ST TO 2ND UNITS COST,1,165,v1.0
adeptus-custodes,UNITS,CONTEMPTOR-GALATUS DREADNOUGHT,YOUR 3RD + UNIT COSTS,1,180,v1.0
adeptus-custodes,UNITS,CORONUS GRAV-CARRIER,YOUR 1ST TO 2ND UNITS COST,1,180,v1.0
adeptus-custodes,UNITS,CORONUS GRAV-CARRIER,YOUR 3RD + UNIT COSTS,1,200,v1.0
adeptus-custodes,UNITS,CUSTODIAN GUARD,YOUR 1ST TO 3RD UNITS COST,4,170,v1.0
adeptus-custodes,UNITS,CUSTODIAN GUARD,YOUR 1ST TO 3RD UNITS COST,5,215,v1.0
adeptus-custodes,UNITS,CUSTODIAN GUARD,YOUR 4TH + UNIT COSTS,4,180,v1.0
adeptus-custodes,UNITS,CUSTODIAN GUARD,YOUR 4TH + UNIT COSTS,5,225,v1.0
adeptus-custodes,UNITS,CUSTODIAN GUARD WITH ADRASITE AND PYRITHITE SPEARS,YOUR 1ST TO 3RD UNITS COST,5,250,v1.0
adeptus-custodes,UNITS,CUSTODIAN GUARD WITH ADRASITE AND PYRITHITE SPEARS,YOUR 4TH + UNIT COSTS,5,260,v1.0
adeptus-custodes,UNITS,CUSTODIAN WARDENS,YOUR 1ST UNIT COSTS,4,210,v1.0
adeptus-custodes,UNITS,CUSTODIAN WARDENS,YOUR 1ST UNIT COSTS,5,260,v1.0
adeptus-custodes,UNITS,CUSTODIAN WARDENS,YOUR 2ND + UNIT COSTS,4,230,v1.0
adeptus-custodes,UNITS,CUSTODIAN WARDENS,YOUR 2ND + UNIT COSTS,5,280,v1.0
adeptus-custodes,UNITS,KNIGHT-CENTURA,YOUR UNIT COSTS,1,55,v1.0
adeptus-custodes,UNITS,ORION ASSAULT DROPSHIP,YOUR 1ST UNIT COSTS,1,690,v1.0
adeptus-custodes,UNITS,ORION ASSAULT DROPSHIP,YOUR 2ND + UNIT COSTS,1,740,v1.0
adeptus-custodes,UNITS,PALLAS GRAV-ATTACK,YOUR UNIT COSTS,1,100,v1.0
adeptus-custodes,UNITS,PROSECUTORS,YOUR UNIT COSTS,4,45,v1.0
adeptus-custodes,UNITS,PROSECUTORS,YOUR UNIT COSTS,5,50,v1.0
adeptus-custodes,UNITS,PROSECUTORS,YOUR UNIT COSTS,9,75,v1.0
adeptus-custodes,UNITS,PROSECUTORS,YOUR UNIT COSTS,10,85,v1.0
adeptus-custodes,UNITS,SAGITTARUM CUSTODIANS,YOUR UNIT COSTS,5,225,v1.0
adeptus-custodes,UNITS,SHIELD-CAPTAIN,YOUR UNIT COSTS,1,110,v1.0
adeptus-custodes,UNITS,SHIELD-CAPTAIN IN ALLARUS TERMINATOR ARMOUR,YOUR UNIT COSTS,1,130,v1.0
adeptus-custodes,UNITS,SHIELD-CAPTAIN ON DAWNEAGLE JETBIKE,YOUR UNIT COSTS,1,140,v1.0
adeptus-custodes,UNITS,TELEMON HEAVY DREADNOUGHT,YOUR 1ST UNIT COSTS,1,225,v1.0
adeptus-custodes,UNITS,TELEMON HEAVY DREADNOUGHT,YOUR 2ND + UNIT COSTS,1,245,v1.0
adeptus-custodes,UNITS,TRAJANN VALORIS,YOUR UNIT COSTS,1,135,v1.0
adeptus-custodes,UNITS,VALERIAN,YOUR UNIT COSTS,1,110,v1.0
adeptus-custodes,UNITS,VENATARI CUSTODIANS,YOUR UNIT COSTS,3,160,v1.0
adeptus-custodes,UNITS,VENATARI CUSTODIANS,YOUR UNIT COSTS,6,320,v1.0
adeptus-custodes,UNITS,VENERABLE CONTEMPTOR DREADNOUGHT,YOUR 1ST TO 2ND UNITS COST,1,170,v1.0
adeptus-custodes,UNITS,VENERABLE CONTEMPTOR DREADNOUGHT,YOUR 3RD + UNIT COSTS,1,185,v1.0
adeptus-custodes,UNITS,VENERABLE LAND RAIDER,YOUR 1ST UNIT COSTS,1,220,v1.0
adeptus-custodes,UNITS,VENERABLE LAND RAIDER,YOUR 2ND + UNIT COSTS,1,240,v1.0
adeptus-custodes,UNITS,VERTUS PRAETORS,YOUR UNIT COSTS,2,145,v1.0
adeptus-custodes,UNITS,VERTUS PRAETORS,YOUR UNIT COSTS,3,215,v1.0
adeptus-custodes,UNITS,VIGILATORS,YOUR UNIT COSTS,4,50,v1.0
adeptus-custodes,UNITS,VIGILATORS,YOUR UNIT COSTS,5,55,v1.0
adeptus-custodes,UNITS,VIGILATORS,YOUR UNIT COSTS,9,90,v1.0
adeptus-custodes,UNITS,VIGILATORS,YOUR UNIT COSTS,10,100,v1.0
adeptus-custodes,UNITS,WITCHSEEKERS,YOUR UNIT COSTS,4,50,v1.0
adeptus-custodes,UNITS,WITCHSEEKERS,YOUR UNIT COSTS,5,55,v1.0
adeptus-custodes,UNITS,WITCHSEEKERS,YOUR UNIT COSTS,9,90,v1.0
adeptus-custodes,UNITS,WITCHSEEKERS,YOUR UNIT COSTS,10,100,v1.0
adeptus-mechanicus,UNITS,ARCHAEOPTER FUSILAVE,YOUR UNIT COSTS,1,160,v1.0
adeptus-mechanicus,UNITS,ARCHAEOPTER STRATORAPTOR,YOUR UNIT COSTS,1,185,v1.0
adeptus-mechanicus,UNITS,ARCHAEOPTER TRANSVECTOR,YOUR UNIT COSTS,1,145,v1.0
adeptus-mechanicus,UNITS,BELISARIUS CAWL,YOUR UNIT COSTS,1,220,v1.0
adeptus-mechanicus,UNITS,CORPUSCARII ELECTRO-PRIESTS,YOUR UNIT COSTS,5,65,v1.0
adeptus-mechanicus,UNITS,CORPUSCARII ELECTRO-PRIESTS,YOUR UNIT COSTS,10,130,v1.0
adeptus-mechanicus,UNITS,CYBERNETICA DATASMITH,YOUR UNIT COSTS,1,25,v1.0
adeptus-mechanicus,UNITS,FULGURITE ELECTRO-PRIESTS,YOUR UNIT COSTS,5,70,v1.0
adeptus-mechanicus,UNITS,FULGURITE ELECTRO-PRIESTS,YOUR UNIT COSTS,10,140,v1.0
adeptus-mechanicus,UNITS,HASTARII EXTERMINATORS,YOUR 1ST TO 2ND UNITS COST,5,115,v1.0
adeptus-mechanicus,UNITS,HASTARII EXTERMINATORS,YOUR 3RD + UNIT COSTS,5,130,v1.0
adeptus-mechanicus,UNITS,HASTARII FUSILIERS,YOUR 1ST TO 2ND UNITS COST,5,115,v1.0
