Model,Release Date
Saint Celestine,2017-01
Arco-flagellants,2020-01
Battle Sisters Squad,2020-01
Celestians and Dominions,2020-01
Exorcist,2020-01
Hospitaller,2020-01
Junith Eruita,2020-01
Mortifiers,2020-01
Penitent Engines,2020-01
Retributor Squad,2020-01
The Triumph of Saint Katherine,2020-01
Canoness,2020-03
Dialogus,2020-03
Imagifier,2020-03
Immolator,2020-03
Seraphim,2020-03
Sisters Repentia,2020-03
Zephyrim Squad,2020-03
Daemonifuge â€“ Ephrael Stern & Kyganil,2020-06
Palatine,2021-03
Celestian Sacresants,2021-06
"Morvenn Vahl, Abbess Sanctorum of the Adepta Sororitas",2021-06
Paragon Warsuits,2021-06
Sister Dogmata,2021-06
"Aestred Thurga, Reliquant at Arms",2021-08
Castigator,2021-08
Kill Team: Novitiates,2022-03
Cannoness With Jump Pack,2024-06
Sisters Novitiate Squad,2025
Adjuror,2025-01
Censor,2025-01
Denuncia / Mortisanctus,2025-01
Superior / Reliquarius,2025-01
Warrior / Cremator,2025-01
Celestian Insidiants,2025-08
Intranzia Fraye,2026-03
