Model,Release Date
Contemptor Dreadnought,2015-11
Custodian Guard Squad,2017-04
Shield-Captain,2017-04
Sisters of Silence: Prosecutors,2017-04
Sisters of Silence: Vigilators,2017-04
Sisters of Silence: Witchseekers,2017-04
Vexilus Praetor,2017-04
Allarus Custodians,2018-02
Allarus Shield-Captain,2018-02
Allarus Vexilus Praetor,2018-02
Captain-General Trajan Valoris,2018-02
Custodian Wardens,2018-02
Jetbike Shield-Captain,2018-02
Vertus Praetors,2018-02
Warden Shield-Captain,2018-02
Warden Vexilus Praetor,2018-02
Valerian and Aleya,2020-02
Blade Champion,2021-12
Shield Captain,2026-01
