Model,Release Date
Ironstrider Ballistarius,2015-03
Skitarii Rangers,2015-03
Skitarii Vanguard,2015-03
Sydonian Dragoon,2015-03
Onager Dunecrawler,2015-04
Sicarian Infiltrators,2015-04
Sicarian Ruststalkers,2015-04
Corpuscarii Electro Priests,2015-05
Fulgurite Electro Priests,2015-05
Kastelan Robots,2015-05
Kataphorn Breachers,2015-05
Kataphron Destroyers,2015-05
Tech-Priest Dominus,2015-05
Tech-Priest Enginseer,2015-11
Cybernetica Datasmith,2017
Belisarius Cawl,2017-01
Tech-Priest Manipulus,2019-01
Skorpius Disintegrator,2019-06
Skorpius Dunerider,2019-06
Archaeopter Fusilave,2020-06
Archaeopter Stratoraptor,2020-06
Archaeopter Transvector,2020-06
Pteraxii Skystalkers,2020-06
Pteraxii Sterylizors,2020-06
Serberys Raiders,2020-06
Serberys Sulphurhounds,2020-06
Skitarii Marshal,2021-05
Adeptus Mechanicus: Sydonian Skatros,2023-12
Battleclade Kill Team,2025-01
Combat Servitors,2025-01
Gun Servitors,2025-01
Servitor Underseer,2025-01
Archmagos Terminus,2026-02
Skitarii Heavy Infantry,2026-02
