Model,Release Date
Baneblade,2007-10
Commissar with Power Fist,2007-10
Hellhammer,2007-10
Banehammer,2009-03
Banesword,2009-03
Doomhammer,2009-03
Shadowsword,2009-03
Stormlord,2009-03
Stormsword,2009-03
Cadian Command Squad,2009-05
Catachan Command Squad,2009-05
Primaris Psyker,2009-05
Ratlings,2009-05
Regimental Advisors,2009-05
Scout Sentinel,2009-05
Valkyrie,2009-05
Hellhound,2009-08
Leman Russ Demolisher,2009-08
Colonel Iron Hand Straken,2009-09
Sergeant Harker,2009-09
Basilisk,2010-03
Chimera,2010-03
Deathstrike,2010-06
Leman Russ,2010-06
Manticore,2010-06
Taurox,2014-03
Tempestus Command Squad,2014-03
Tempestus Scions,2014-03
Bullgryns,2014-04
Hydra,2014-04
Nork Deddog,2014-04
Ogryns,2014-04
Prefectus Commissar,2014-04
Wyvern,2014-04
Gaunt's Ghosts,2021-06
Kill Team: Veteran Guardsmen,2022-01
Armoured Sentinel / Scout Sentinel,2023-01
Cadian Castellan,2023-01
Cadian Command Squad,2023-01
Cadian Shock Troops,2023-01
Field Ordnance Battery,2023-01
Heavy Weapon Squad,2023-01
Lord Solar Leontus,2023-01
Minka Lesk,2023-01
Rogal Dorn Battle Tank,2023-01
Ratlings,2024-01
Tempestus Aquilons,2024-01
Ratlings Snipers,2024-10
Artillery Team with Heavy Mortar,2025-01
Artillery Team with Heavy Quad-Launcher,2025-01
Artillery Team with Multiple Rocket Launcher,2025-01
Artillery Team with Siege Cannon,2025-01
Cadian 101st,2025-01
Death Korps of Krieg Combat Engineers,2025-01
Death Korps of Krieg Heavy Weapons Squad,2025-01
Death Riders,2025-01
Heavy Quad Launcher Team,2025-01
Varnan Dreir,2025-01
Cadian Castellan,2026-01
Centaur RSV,2026-01
Commissar Cain and Jurgen,2026-01
Commissar Graves,2026-01
Commissar Yarrick,2026-01
Hippogriff AFV,2026-01
Spectre Squad,2026-01
