Model,Release Date
Baal Predator,2010-04
Death Company,2010-04
Sanguinary Guard,2010-04
Death Company Dreadnought,2011-02
Furioso Dreadnought,2011-02
Librarian Dreadnought,2011-02
Blood Angels Librarian in Terminator Armour,2014-12
Blood Angels Tactical Squad,2014-12
Blood Angels Terminator Assault Squad,2014-12
Sanguinary Priest,2014-12
Blood Angels Captain in Terminator Armour,2015-11
Blood Angels Chaplain with Jump Pack,2015-11
Lieutenant Tolmeron,2017-12
Mephiston,2019-11
Astorath,2024-09
Lemartes,2024-09
Space Marine Captain,2024-09
Sanguinary Guard,2024-10
Sanguinary Priest,2024-10
The Sanguinor,2025-01
