Model,Release Date
Bloodletters of Khorne,2008-05
Daemonettes of Slaanesh,2008-05
Soul Grinder,2008-05
Daemons of Khorne Bloodcrushers,2010-08
Seekers,2010-08
Exalted Seeker Chariot of Slaanesh,2012-08
Flamers of Tzeentch,2012-08
Plaguebearers of Nurgle,2012-08
Screamers of Tzeentch,2012-08
Seeker Chariot of Slaanesh,2012-08
Blood Throne of Khorne,2013-03
Burning Chariot of Tzeentch,2013-03
Exalted Flamer of Tzeentch,2013-03
"Fateskimmer, Herald on Burning Chariot",2013-03
Plague Drones of Nurgle,2013-03
Poxbringer,2013-03
Skull Cannon of Khorne,2013-03
Bloodthirster,2015-02
Skarbrand,2015-09
Horrors of Tzeentch,2017-02
Kairos Fateweaver,2017-02
Lord of Change,2017-02
The Changeling,2017-02
Horticulous Slimux,2017-09
Beast of Nurgle,2018-01
Great Unclean One,2018-01
Rotigus,2018-01
Sloppity Bilepiper,2018-01
Spoilpox Scrivener,2018-01
Fiends,2018-12
Flesh Hounds,2018-12
Infernal Enrapturess,2018-12
"Karanak, The Hound of Vengeance",2018-12
Daemonettes,2019-01
"Bloodmaster, Herald of Khorne",2019-03
Skulltaker,2019-03
Contorted Epitome,2019-05
Keeper of Secrets,2019-05
Shalaxi Hellbane,2019-05
Syll'Esske: The Vengeful Allegiance,2019-05
The Masque,2019-05
"Be'lakor, the Dark Master",2021-04
