Model,Release Date
Possessed,2006
Chosen,2007
Huron Blackheart,2007
Fallen,2007-03
Possessed,2007-08
Chaos Spawn,2007-09
Sorcerer Lord in Terminator Armour,2007-09
Terminator Lord,2007-09
Bloodletters of Khorne,2008-05
Chosen,2012-01
Plaguebearers of Nurgle,2012-08
Chaos Cultists,2012-09
Aspiring Champion,2012-10
Chaos Land Raider,2012-10
Chaos Rhino,2012-10
Daemon Prince,2012-10
Daemon Prince with Wings,2012-10
Defiler,2012-10
Forgefiend,2012-10
Heldrake,2012-10
Maulerfiend,2012-10
Raptors,2012-10
Warp Talons,2012-10
Khorne Lord of Skulls,2013-07
Helbrute,2014-03
Kh̢rn the Betrayer,2016-09
Cypher,2017-03
Icon Bearer,2017-10
Plague Marine Champion,2017-10
Plague Marines,2017-10
Chaos Lord,2018-11
Haarken Worldclaimer,2018-12
Noise Marine,2018-12
Abaddon The Despoiler,2019-03
Legionaries,2019-03
Arch-Lord Discordant,2019-04
Chaos Terminators,2019-04
Dark Apostle,2019-04
Havocs,2019-04
Master of Executions,2019-04
Chaos Sorcerer,2019-11
Sorcerer,2019-11
Fabius Bile,2020-06
Obliterators,2022
Possessed,2022
Venomcrawler,2022
Chosen,2022-02
Warpsmith,2022-02
Vashtorr the Arkifane,2023-03
Nemesis Claw,2024
Chaos Lord,2024-05
Chaos Lord on Jump Pack,2024-05
Raptors,2025-01
Warp Talons,2025-01
Traitor Enforcer,2025-11
Defiler,2026-01
Kravek Morne,2026-01
Mutilators,2026-01
Red Corsairs Raiders,2026-01
Red Corsairs Reave-Captain,2026-01
Captain Sargotta,2026-02
Garlon Souleater,2026-02
Garreon the Corpsemaster,2026-02
Huron Blackheart,2026-02
Katar Garrix,2026-02
Plunder,2026-02
The Enforcer,2026-02
