Model,Release Date
Dire Avengers,2006-11
War Walker,2006-11
Fire Prism,2010-06
Night Spinner,2010-06
Support Weapon,2010-06
Crimson Hunter,2013-06
Hemlock Wraithfighter,2013-06
Wraithblades,2013-06
Wraithguard,2013-06
Wraithknight,2013-06
Autarch,2015-04
Farseer Skyrunner,2015-04
Warlock Skyrunner,2015-04
Eldrad Ulthran,2016-09
Spiritseer,2018-10
Jain Zar,2019-10
Autarch,2022-02
Rangers,2022-02
Shroud Runners,2022-02
Avatar of Khaine,2022-03
Dark Reapers,2022-03
Maugan Ra,2022-03
Shining Spears,2022-03
Warlocks,2022-03
Asurmen,2025-01
Baharroth,2025-01
Fire Dragons,2025-01
Fuegan,2025-01
Lhykhis,2025-01
Spiritseer,2025-01
Swooping Hawks,2025-01
Warp Spiders,2025-01
Autarch,2026-01
Corsair Skyreavers / Corsair Voidreavers,2026-01
Kharseth the Void Dreamer,2026-01
Prince Yriel,2026-01
Starfang,2026-01
Vyper,2026-01
