Model,Release Date
Chaos Spawn,2007-09
Plaguebearers of Nurgle,2012-08
Lord of Contagion,2017-06
Malignant Plaguecaster,2017-06
Noxious Blightbringer,2017-06
Poxwalkers,2017-06
Easy to Build: Plague Marines,2017-07
Easy to Build: Poxwalkers,2017-07
Mortarion,2017-08
Biologus Putrifier,2017-10
Blightlord Terminators,2017-10
Deathshroud Terminators,2017-10
Foetid Bloat-Drone,2017-10
Foul Blightspawn,2017-10
Icon Bearer,2017-10
"Nauseous Rotbone, the Plague Surgeon",2017-10
Plagueburst Crawler,2017-10
Scribbus Wretch The Tallyman,2017-10
"Typhus, Herald of the Plague God",2017-10
Easy to Build: Lord Felthius & Tainted Cohort,2017-12
Easy to Build: Myphetic Blight-Hauler,2017-12
Tallyman,2020
Lord of Virulence,2021-01
Miasmic Malignifier,2021-01
Lord of Poxes,2025-01
