Model,Release Date
Annihilation Barge,2011-11
Catacomb Command Barge,2011-11
Deathmarks,2011-11
Doomsday Ark,2011-11
Ghost Ark,2011-11
Immortals,2011-11
Lychguard,2011-11
Triarch Praetorians,2011-11
Canoptek Spyder,2012-05
Canoptek Wraiths,2012-05
Tomb Blades,2012-05
Triarch Stalker,2012-05
Doom Scythe,2012-06
Night Scythe,2012-06
Obelisk,2013-07
Tesseract Vault,2013-07
Necron Overlord,2015-01
Necron Cryptek,2018-03
Illuminor Szeras,2020-06
Canoptek Reanimator,2020-07
Canoptek Scarab Swarms,2020-07
Cryptothralls,2020-07
Necron Warriors,2020-07
Overlord,2020-07
Plasmacyte,2020-07
Plasmancer,2020-07
Royal Warden,2020-07
Skorpeth Destroyers,2020-07
Skorpeth Lord,2020-07
C'tan Shard of the Void Dragon,2020-10
Canoptek Doomstalker,2020-10
Convergence of Dominion,2020-10
Hexmark Destroyer,2020-10
Lokhust Heavy Destroyers,2020-10
Monolith,2020-10
Ophydian Destroyers,2020-10
"Szarekh, The Silent King",2020-10
Psychomancer,2021-02
Chronomancer,2021-03
Flayed Ones,2021-03
Necrons: Imotekh the Stormlord,2023-12
Necrons: Orikan the Diviner,2023-12
Necrons: Overlord with Translocation Shroud,2023-12
Canoptek Accelerator,2025-01
Geomancer,2025-01
Macrocyte Warriors,2025-01
Plasmacyte Reanimator,2025-01
Tomb Crawlers,2025-01
C'tan Shard of the Nightbringer,2025-08
Nekrosor Ammentar,2025-11
