Model,Release Date
Burna Boyz,2008-01
Lootas,2008-01
Trukk,2008-01
Warbiker Mob,2008-01
Gretchin,2009
Battlewagon,2009-01
Nobz,2009-01
Stormboyz,2009-01
Stompa,2009-03
Deff Dread,2010-03
Killa Kans,2010-03
Blitza-bommer,2012-06
Burna-bommer,2012-06
Dakkajet,2012-06
Gorkanaut,2014-05
Morkanaut,2014-05
Warboss Grukk's Boss-Mob,2014-05
Big Mek in Mega Armour,2014-06
Big Mek with Shock Attack Gun,2014-06
Flash Gitz,2014-06
Meganobz,2014-06
Mek,2014-06
Mek Gunz,2014-06
Painboy,2014-06
Trukk Boyz,2014-06
Boomdakka Snazzwagon,2018-11
Deffkilla Wartrike,2018-11
Kustom Boosta-Blasta,2018-11
Megatrakk Scrapjet,2018-11
Rukkatrukk Squigbuggy,2018-11
Shokkjump Dragsta,2018-11
Ghazghkull Thraka,2020-03
Makari,2020-03
Beast Snagga Boyz,2021-07
Bomb Squig,2021-07
Nob on Smasha Squig,2021-07
Squighog Boyz,2021-07
Zodgrod Wortsnagga,2021-07
Beastboss,2021-09
Boyz,2021-09
Deffkoptas,2021-09
Warboss in Mega Armour,2021-09
Beastboss on Squigosaur,2021-10
Hunta Rig,2021-10
Kill Rig,2021-10
Mozrog Skragbad,2021-10
Painboss,2021-10
Kill Team: Kommandos,2022-01
Ork Warboss with Attack Squig,2022-01
Da Red Gobbo's Nemesis,2023-11
Da Red Gobbo's Surprise,2023-11
Ufthak Blackhawk,2023-12
Big Mek,2024-03
Da Red Gobbo,2024-10
Kill Team: Storm Volkus,2024-10
Da Red Gobbo with Robotic Contraption,2025-10
Dakkarig,2026-01
Wazdakka Gutsmek,2026-03
Bannernob,2026-06
Big Mek Dakkarig,2026-06
Bigboss,2026-06
Boyz,2026-06
Gretchin,2026-06
Painboy,2026-06
Warboss,2026-06
Wartrakk,2026-06
Weirdboy,2026-06
