Model,Release Date
Hive Tyrant,2001
Hormagaunts,2001
Hive Tyrant,2005
Genestealers,2005-06
Carnifex Brood,2005-07
Old One Eye,2005-07
Screamer-killer Brood,2005-07
Gargoyle Brood,2010-01
Mawloc,2010-01
Ravener Brood,2010-01
Trygon,2010-01
Hive Tyrant,2012-03
Swarmlord,2012-03
Tervigon,2012-03
Tyrannofex,2012-03
Winged Hive Tyrant,2012-03
Exocrine,2014-01
Harpy,2014-01
Haruspex,2014-01
Hive Crone,2014-01
Hive Guard,2014-01
Tyranid Warriors,2014-01
Tyrant Guard,2014-01
Maleceptor,2014-11
Neurothrope,2014-11
Sporocyst and Mucolid Spore,2014-11
Toxicrene,2014-11
Tyrannocyte,2014-11
Venomthropes,2014-11
Zoanthropes,2014-11
Broodlord,2014-12
The Parasite of Mortrex,2022-04
Genestealers,2023
Hormagaunts,2023
Ripper Swarm,2023
Barbgaunts,2023-06
Neurogaunts,2023-06
Neurotyrant,2023-06
Psychophage,2023-06
Screamer-Killer,2023-06
Termagants,2023-06
Tyranid Prime,2023-06
Von Ryan's Leapers,2023-06
Deathleaper / Lictor,2023-09
Neurolictor,2023-09
Norn Assimilator,2023-09
Norn Emissary,2023-09
Raveners,2025-01
Red Terror,2026-01
Tyranid Prime with Lashwhip,2026-01
